anchor,positive
"Never, ever tell that to others.",Absolutely do not tell other people.
Why didn't you ask me for help?,Why haven't you asked for my help?
Tom will leave tomorrow.,Tom will be leaving tomorrow.
We remain hopeful that Tom will recover.,We are still hoping that Tom will get better.
She needs to change her lifestyle.,She needs to turn her life around.
I like this cup.,I love this cup.
Tom is very busy.,Tom is very committed.
She and I are cousins.,Him and me are cousins.
Can we talk to him directly?,Can we talk to her directly?
Tom wasn't able to come to our party.,Tom couldn't come to our party.
Tom has information that Mary needs.,Tom has the information Mary needs.
Who is his father?,Who's her father?
The Nile is the longest river in the world.,The Nile River is the longest in the world.
You have to protect your family.,Everyone must protect their own family.
Our cathedral is a proud building.,Our cathedral is an imposing structure.
Tom has never seen Mary so angry.,Tom had never seen Mary so furious.
I was having a bath when the telephone rang.,I was in the shower when the phone rang.
I haven't enough material to write a book yet.,I have not yet collected sufficient materials to write a book.
I'll need to do that eventually.,I'll eventually need to do that.
Tom drank some milk.,Tom drank milk.
It's a miracle that he wasn't killed in the accident.,It's a miracle that he survived the accident.
We're going alone.,We're going there alone.
They were satisfied.,They are satisfied.
Would you rather go fishing or go hunting?,Would you prefer to go fishing or hunting?
Tom robbed a bank.,Tom committed a bank robbery.
"Happy birthday, dear friend!","Happy birthday, my beloved friend."
The glass got broken.,The glass is broken.
Tom has three nieces.,Tom has three grandchildren.
I have killed them.,I killed them.
She has hit the jackpot once again.,She has come up with the right answer once again.
You are right. I will go by taxi.,You're right. I'll go by taxi.
He didn't fear death.,He isn't afraid of death.
She's fashionable.,You're fashionable.
My dad is not at home for the moment.,My dad is not home at the moment.
I hope Tom is right.,I hope Tom's right.
You have to do this now.,You've got to do that now.
Where will you visit?,Where are you scheduled to visit?
They think that they could win.,They think they could win.
I don't know who I'm going to choose.,I don't know who to choose.
Tom said that he enjoyed the party.,Tom said he liked the party.
Tom is going to be devastated.,Tom will be devastated.
Tell Tom I'm hungry.,Tell Tom that I'm angry.
Don't fire him.,Don't fire her.
She is a psychic.,You're psychic.
Tom looks exceptionally bored.,Tom looks totally bored.
I thought Tom had quit smoking.,I thought Tom had stopped smoking.
Where did you eat them?,Where did you swindle them?
She was in no humor for lunch.,She was not in the mood for lunch.
Have you called them?,Did you call them?
My mother told me to do a careless job of it.,My mother told me to mow the lawn.
He is able to play the guitar.,He can play the guitar.
Don't bite your nails.,Stop biting your nails.
Tom did the work by himself.,Tom did the work on his own.
I was truly impressed.,I'm actually impressed.
Both Tom and Mary were grinning.,Tom and Mary were both grinning.
Tom put everything into the box.,Tom put everything in the box.
I have a slight headache.,My head does hurt a little.
Tom put on his goggles.,Tom put his goggles on.
Tom planned to stay at home alone.,Tom planned on staying at home alone.
They're still together.,They are still together.
I set one free.,I dropped one.
Tom and Mary are going to watch the game together.,Tom and Mary will watch the game together.
I admitted that he was right.,I admitted that she was right.
"You're taller than me, aren't you?","You're taller than I am, aren't you?"
She has something to do with the group.,She has some relation to that group.
They showed their photo albums to me.,They showed me their photo albums.
What are you apologizing for?,Why are you apologizing?
Tom opened the book.,Tom opened his book.
I'm not sleepy at all.,I'm not at all sleepy.
"Tom is naive, isn't he?","Tom is gullible, isn't he?"
You never should've done that.,You should never have done that.
My brother and I are in the same class.,I am in the same class as my brother.
Tom might not be here in time.,Tom may not be here on time.
I teach Spanish.,I am a professor of Spanish.
Both my wife and I are from Boston.,My wife and I are both from Boston.
I haven't ruled out doing that yet.,I haven't yet ruled out doing that.
Your parents must've been worried.,Your parents must have been worried.
I have one green shirt.,I have a green shirt.
Tom's serious.,Tom isn't joking.
I don't know whether to go to the party or not.,I don't know if I can go to the party.
"Wood floats, but iron sinks.",If plants and stones are in the water then this will happen: the plants float and the rocks sink.
Day after day I write to her.,I wrote her a letter every day.
I want to talk with them alone.,I'd like to talk to them alone.
Let me know if something is missing.,Let me know if something's missing.
Tom's a fine-looking boy.,Tom is a good-looking boy.
I brush my teeth.,I am brushing my teeth.
I am often in difficulties.,I'm often in trouble.
I just want it to stop.,I just want this to be over.
My team consists of ten people.,My team contains ten people.
You've changed.,He has changed.
Mary sold her old car to me.,Mary sold me her old car.
In our company the official language of business is Japanese.,"In our company, the official language is Japanese."
I have to do it again.,I have to repeat it.
I did not understand a word.,I didn't understand a single word.
I'm not your friend.,I'm no friend of yours.
Do you want to tell me what this is?,Can you tell me what it is?
These diamonds come from South Africa.,These diamonds are from South Africa.
I cannot afford to buy a new bicycle.,I can't afford to buy the new bicycle.
He was in the queue.,He was standing in line.
We've come to help.,We came to help.
Hypocrisy is my abhorrence.,I hate hypocrisy.
"At that time, she was bathing in the sun.",She was sunbathing at that time.
Just come up here.,Just get over here.
Tom hasn't called.,Tom didn't call.
I wonder if this really works.,I wonder whether this really works.
This umbrella belongs to Tom.,This umbrella is Tom's.
What is John doing now?,What is John doing right now?
Sami loves horror stories.,Sami likes horror stories.
Tom may be lost.,Tom might be lost.
Mary threw Tom under the bus.,Mary cheated on Tom.
Tom is going to love it here.,Tom is going to like being here.
I don't think I've done anything wrong.,I don't think I did anything wrong.
We must operate immediately.,We have to operate immediately.
Tom just ate one sandwich.,Tom ate only one sandwich.
I'm Tom's half brother.,I'm Tom's stepbrother.
She is muttering to herself.,She's muttering something.
Her statement was false.,Her claim was false.
Divide and conquer.,Divide and rule!
Cooking is her delight.,She has a strong liking for cooking.
Tom made a mistake.,Tom is wrong.
Where did you find Tom?,Where did you ever find Tom?
This apple juice is 100% pure.,This apple juice is pure.
Tom thinks Mary won't be absent.,Tom thinks Mary will be absent.
Thus spoke Zarathustra.,Thus said Zarathustra.
I didn't take part in the conversation.,I did not participate in the dialog.
How would you do that?,How would you have done that?
We are bored with the joke of professorial custom.,We are sick of the tired old jokes the teacher keeps making.
I think I have a better idea.,I think I've got a better idea.
I’ve got a big pile of homework I need to complete today but haven’t even started any of it yet.,I’ve got heaps of homework due today but haven’t even touched anything yet.
He is said to have taken part in the battle.,"According to the rumors, he participated in the battle."
I believe we'll be able to succeed.,I think that we will manage to succeed.
I paused a moment.,I paused for a moment.
It isn't new.,"Been there, done that."
Where do you stay in Boston?,Where will you stay when you go to Boston?
I came upon a friend of mine in the bus.,I ran into a friend of mine on the bus.
Tom deserves the prize.,Tom deserves the award.
I thought that Tom did that.,I thought Tom did that.
I hope Tom succeeds.,I hope that Tom succeeds.
I never saw a giraffe.,I've never seen a giraffe.
Keep the door closed.,Keep the door locked.
They said that they couldn't walk.,They said they couldn't walk.
I'll see you guys Monday.,I'll see you on Monday.
Tom isn't going to be back until Monday.,Tom won't be back until Monday.
Sami waited there.,Sami waited out there.
What's the world's highest mountain?,What's the highest mountain in the world?
I want to be successful.,I want to be a success.
She's as good as pie.,She is in a very good mood.
The priceless china shattered into fragments.,The expensive china broke into a thousand pieces.
I love tomatoes.,I like tomatoes.
They said that they're feeling fine.,They said they're feeling fine.
"The rain just stopped, so let's leave.",The rain just stopped. We can leave.
Who ordered pizza?,Who's the pizza for?
"Being sick, I had to stay home.",I was sick and had to stay indoors.
Tom is likely to be jealous.,Tom will likely be jealous.
No one seems to care.,No one would've cared.
She said she couldn't speak French.,She said she didn't speak French.
"Tomorrow, I'm going to buy what we need.",Tomorrow I will buy what I need.
My house stands by a tall tree.,My house is next to the big tree.
"In America everybody is of opinion that he has no social superiors, since all men are equal, but he does not admit that he has no social inferiors.","In the United States everybody is of the opinion that they have no social superiors, since all men are equal, but they do not admit that they have no social inferiors."
I was hoping you could do it.,I hoped you could do this.
She died in his arms.,He died in her arms.
"Being very tired, I soon fell asleep.","I was very tired, so I fell asleep right away."
Tom is playing outdoors.,Tom is playing outside.
"Ladies and gentlemen, now we start the movie.","Ladies and Gentlemen, now we will start the movie."
Could you please take off your sunglasses?,Would you mind taking your sunglasses off?
I'll buy you that bracelet.,I'll buy that bracelet for you.
He means it.,She means it.
Tom had nothing to say.,Tom didn't have anything to say.
My back still hurts.,My back hurts all the time.
"Daddy, i love you!","I love you, Dad."
The show is on Monday.,The show's Monday.
I'm pretty sure that that's not the case.,I'm pretty sure that isn't the case.
She is prudish.,He's a prude.
The wheels turned around.,The wheels were turning.
My baby has a hereditary disease.,My son has an hereditary disease.
Tom and Mary are as good as married.,Tom and Mary are practically married.
I consider myself fairly lucky.,I consider myself quite lucky.
I met him on my way home.,"On my way home, I met him."
Is it an elk?,Is it a deer?
A dog has a sharp sense of smell.,A dog is sensitive to smell.
Tom said Mary was doing fine.,Tom said Mary was well.
A true friend would've helped.,A true friend would have helped.
Tom didn't complain.,Tom wasn't complaining.
That's why I came to see you.,That's why I came for you.
Tom didn't show up for dinner.,Tom didn't appear during the meal.
Tom really should've helped Mary more.,Tom really should have helped Mary more.
Tom denied that that happened.,Tom denied that happened.
Tom hasn't yet talked to Mary.,Tom hasn't talked to Mary yet.
Tom said that he was annoyed.,Tom said he was annoyed.
He doesn't read many books.,He doesn't read any more books.
He became famous.,She became famous.
St. Valentine's Day falls on Sunday this year.,Valentine's Day is on Sunday this year.
They danced all night long.,They danced the whole night.
Are you going in?,Are you coming in?
I haven't eaten lunch yet.,I haven't eaten yet.
Something's wrong with Tom.,Tom has a problem.
Haven't you washed the plates yet?,Haven't you washed the dishes yet?
This pencil is not grey.,This pencil isn't gray.
I don't like Tom so much.,I don't like Tom very much.
He fell into a slumber inadvertently.,He dozed off even though he didn't want to.
It's not a bomb.,It isn't a bomb.
Would you please come again later?,Can you come back later?
What are they like?,How do they look?
I waited for her for a long time.,I waited for her forever.
This letter bears no signature.,This letter has no signature.
I never saw Tom doing that.,I never saw Tom do that.
I'm not good at making jokes.,I'm not good at telling jokes.
I will look after your child this evening.,I'll take care of your children tonight.
It may be advantageous to me to proceed in this way.,It could be advantageous for me to continue this way.
Your friends are in there.,Your friends are there.
I've had my fill of the tea.,I've drunk my cup of tea.
He hopes he will visit Paris.,He is thinking he would like to visit Paris.
Tom could've hurt me worse.,Tom could have hurt me worse.
"You want to watch a French movie, don't you?","You want to see a French movie, right?"
It has greatly improved compared with what it was.,"Compared to before, it's already improved greatly."
"According to a recent study, the average life span of the Japanese is still increasing.","As recent research shows, the life expectancy in Japan is consistently increasing."
I do the shopping every morning.,I shop for groceries every morning.
Can I say something?,Can I say one thing?
I think you're exaggerating.,"You're exaggerating, I think."
You should start from books similar to the ones you can already understand easily.,You should begin with books you can easily understand.
Since that time we have not seen him.,We haven't seen him since that time.
My view is different from his as to what should be done.,My opinion on what should be done is different from his.
Don't tell him I told you.,Don't tell her I told you.
He put salt into his cup of coffee by mistake.,She put salt into her coffee by mistake.
There are wheels within wheels.,There's more to this than meets the eye.
What is the title of the book?,What's the title of that book?
Victory is the goal of strategy.,Victory is the end of strategy.
They shall not pass.,They will not pass!
He's my stepfather.,He is my stepdad.
The results were astounding.,The results were amazing.
Tom didn't break the law.,Tom wasn't breaking the law.
The rumor was without foundation.,The rumor was completely without foundation.
They say that he has a lot of old money.,It's rumoured he comes from old money.
You can't be everyone's friend all the time.,You can't always make everyone happy.
"Taking no notice of the people around them, the boys talked loudly to each other.",These young people are talking loudly amongst themselves and have absolutely no regard for those around them.
Tom is the one I'm waiting for.,Tom is the person I was waiting for.
It's not Monday.,Today isn't Monday.
Father and I go fishing once in a while.,My father and I go fishing from time to time.
I was flat on my back for a week with a terrible cold.,I had a bad cold and was in bed for a week.
I can't wait till summer.,I can hardly wait until summer.
Tom was unable to escape.,Tom couldn't get away.
Tom is very slow.,Tom is really slow.
This is a kind of watermelon.,This is some type of watermelon.
I could've helped you out.,I could have helped you out.
He bought the lot with a view to building a house on it.,He bought the land with the plan to build a house on it.
I know what Tom is thinking.,I know what Tom's thinking.
Tom should've been prepared.,Tom should have been prepared.
He wanted to help his friends.,She wanted to help her friends.
I will employ somebody who can speak English.,I plan to hire someone who can speak English.
Tom should've arrived yesterday.,Tom should have arrived yesterday.
I've already answered that question.,I've answered this question before.
I'm going to get some coffee.,I'm going to have some coffee.
You don't need to thank us.,You don't have to thank us.
"How about a cup of tea or something, if you aren't in a hurry?","What would you say to a cup of tea? That is, if you're not too busy."
I'd like to speak to you for a moment.,I just want to talk with you a little while.
Have you already signed the contract?,Have you signed the contract already?
"Which color do you like more, blue or red?",Red and blue - which one do you like?
He ate up the steak and ordered another.,"He finished the steak, then ordered another portion."
You fired me.,He fired me.
I should have tried to get along with my classmates better.,I should've tried harder to get along with everyone in the class.
"Monkey see, monkey do.",Like breeds like.
She bought a Hoover at the supermarket.,She bought a vacuum cleaner at the supermarket.
We listened to the shooting.,We heard the sound of gunshots.
I was ill yesterday.,Yesterday I was ill.
I wish I didn't have to tell you this.,This is a little difficult for me to say.
Tom bought Mary a camera.,Tom bought a camera for Mary.
I turned pale.,I blanched.
This screwdriver is too small to be any use.,This driver is too small and isn't very useful.
Where do you eat lunch?,Where do you have lunch?
Tom and Mary were close friends.,Tom and Mary used to be close friends.
I don't find the formula.,I don't find a formula.
Tom speaks flawless Cantonese.,Tom speaks impeccable Cantonese.
This wasn't your fault.,This one wasn't your mistake.
It's not impossible.,It is not impossible.
He thought of them yearning for fame.,He thinks that they are eager for glory.
Tom showed the documents to Mary.,Tom showed Mary the documents.
"If I could have spoken French better, I might have gotten that job.","If I could've spoken French better, I might've gotten that job."
I feel heavy in the head.,My head feels heavy.
I haven't seen anything of him lately.,I have not seen him lately.
You're the first woman I've ever really loved.,You're the first woman I truly loved.
Tom wasn't married.,Tom was unmarried.
There's no use arguing.,There's no use in arguing.
I'm not sure if I'm ready for that.,I'm not sure I'm ready for this.
I don't speak French fluently.,I'm not a fluent speaker of French.
Tom was trying to help you.,Tom was trying to be helpful to you.
Tom is a powerful man.,Tom is a strong guy.
You're such a pig.,You filthy pig!
Tom is moral.,Tom is a believer.
I'm discussing something with my friends at the moment. Wait a bit and I'll get back to you.,I'm talking with a friend at the moment; I'll get in touch with you in just a moment.
I'm trying to save room for dessert.,I'm trying to leave a little space for dessert.
Tom wouldn't let me pay.,Tom wouldn't allow me to pay.
Everybody's so busy.,Everybody is very busy.
Because no man can speak my language.,"The reason is, no one can speak my language."
I'll back you up.,I'll support you.
"I'm worried about Tom, too.","I, too, am worried about Tom."
Tom dismissed this thought.,Tom pushed that thought aside.
You just can't ignore it.,You can't just ignore it.
Is it that hard?,Is that so complicated?
How is your job hunting going?,How's the job hunt?
He deemed it wise to accept the offer.,He thought it would be wise to accept the offer.
I just hate when that happens.,I hate when this happens.
They said that they felt amazing.,They said they felt amazing.
Tom is the only person I know here.,Tom is the only one here that I know.
Tom may be frightened.,Tom might be frightened.
Yesterday I helped the father.,Yesterday I helped my father.
Tom smiled slightly.,Tom smiled faintly.
Masterpieces are only successful attempts.,Masterpieces are but successful attempts.
The meat has gone bad.,The meat spoiled.
I know that Tom is ambitious.,I know Tom is ambitious.
Tom switched off his walkie-talkie.,Tom switched his walkie-talkie off.
I got my hands quite dirty.,I really got my hands dirty.
You said she was kind and so she is.,"You said she was kind and she certainly is, isn't she?"
"Last night, I listened to radio.",I listened to the radio last night.
He called in to say that he'd be late.,He called to say he'd be late.
"And where are the bosses? – ""At dinner"".","And where is the boss? - ""At dinner""."
What is important for you?,What's important to you?
They told everyone that they were prepared.,They told everybody they were prepared.
Tom gave a brief talk.,Tom gave a short talk.
Mashallah.,Mazel tov.
Tom can't speak either French or Spanish.,Tom can speak neither French nor Spanish.
Now sit down.,Sit down now.
"I may be crazy, but I'm not stupid.","I might be crazy, but not stupid."
I know that Tom is hungry.,I know Tom is hungry.
They say that they'll come righ away.,They say they'll come right away.
Tom didn't seem concerned at all.,Tom didn't seem at all concerned.
Tom is looking out the window.,Tom is staring out of the window.
I know you're Tom.,I know that you're Tom.
I've done that twice.,I've done that two times.
Gold is heavier than iron.,Gold weighs more than iron.
Tom thinks that's strange.,Tom thinks that that's strange.
How many people are on board?,How many passengers are there?
Tom is a gifted artist.,Tom is a talented artist.
You cannot do without a good dictionary.,"Without a good dictionary, you can't do anything."
I corrected it.,I fixed it.
Tom seems to be unaware of what Mary is doing.,Tom doesn't seem to be aware of what Mary is doing.
You'll all die.,You will all die.
Tell Tom we aren't ready.,Tell Tom that we're not ready.
Tom must be furious with Mary.,Tom must be angry with Mary.
"It's a beautiful day for a hike, isn't it?",It's a nice day for a walk.
I'll ask him for you.,I'll ask her for you.
She showed me her room.,She has shown her room to me.
I am older than he by three years.,I'm only three years older than he is.
"We believe he will succeed, for he has talent.",We believe that he will succeed because he has talent.
I think it'll start raining soon.,I think it's going to start raining soon.
They regretted everything that they'd done.,They regretted everything they'd done.
He laughs best who laughs last.,He who laughs last laughs loudest.
Can you understand Tom?,Are you able to understand Tom?
Let Tom in.,Just let Tom in.
I'm not angry with anyone.,I'm not mad at anybody.
Who called the police?,Who called the cops?
Please send me your latest catalogue.,"Could you send me your last catalogue, please?"
Don't let him eat this.,Don't let her eat this.
Tom thinks that's normal.,Tom thinks that that's normal.
I don't want to talk about it.,I don't want to speak about her.
It's not always possible.,It isn't always possible.
It'll be very easy to do that.,Doing that will be very easy.
Tom said he'd probably do that.,Tom said he'd likely do that.
My grandmother underwent surgery in Germany.,My grandmother had an operation in Germany.
I can't sleep at night.,I have insomnia.
We have been studying French for three years.,I've studied French for three years.
Tokyo is the capital of Japan.,The capital of Japan is Tokyo.
Tom closed his eyes.,Tom shut his eyes.
You have to obey your parents.,You must obey your parents.
Good Shabbos.,Shabbat Shalom!
He is so old that he can go to school.,He's old enough to go to school.
They blocked it.,They blocked her.
Tom left Australia.,Tom has left Australia.
Tom realized that he might die.,Tom realized he might die.
They gave him up for lost.,They left him for dead.
I have many talents.,I've got a lot of talent.
I never learned to swim.,I never learned how to swim.
Tom showed me the letter.,Tom showed the letter to me.
"There are many guesses about how language began, but the fact is that no one really knows.","There are lots of theories about the origins of language, but, in fact, no one really knows."
I am not pushing.,"If you don't want to do it, you don't have to."
I'm going to drop in on her next week.,I'm going to visit him next week.
We have to change our plan.,We must alter our plan.
I did do it.,I actually did it.
Beware of the dog!,Beware of dog.
Tom left here about thirty minutes ago.,Tom left about 30 minutes ago.
Tom let Mary drive.,Tom allowed Mary to drive.
I think I've made a mistake.,I think I made a mistake.
You can't communicate without a basic understanding of certain rules.,"Without a basic understanding of certain norms, communication is impossible."
Thanks for the coffee.,Thanks for the cup of coffee.
Mary is a tomboy.,Mary was a tomboy.
"You trust me, don't you?","You trust me, right?"
That was fast.,That was quick.
I'll vouch for you.,I will vouch for him.
We've been here a while.,We've been here for a while.
Tom stole all of Mary's money.,Tom robbed Mary of all her money.
They're painting the fence tomorrow.,"Tomorrow, you are going to paint the fence."
He envied my success.,He was jealous of my success.
That's not going to happen today.,That won't happen today.
I don't often drink wine.,I don't drink wine often.
Here everybody goes in for skiing.,"Around here, everyone skis."
When is the next flight to Boston?,When are you going back to Boston?
My 3 year old is really trying my patience!,My 3-year-old is really getting on my nerves.
I don't think anyone does that.,I don't think anybody does that.
A woman's crying is worthless.,A woman's tears are worthless.
The accident deprived them of their only son.,He lost his only son in an accident.
We are a conservative people.,We're conservative.
I'm disappointed that he's not here.,I am annoyed because it is not there.
I had no place else to go.,I had nowhere else to go.
Are you all set for the trip?,Have you finished your preparations for the trip?
The policeman blew his whistle for the car to stop.,The policeman whistled the car to stop.
Please tell him it's urgent.,Please tell her it's urgent.
I usually stay indoors on Sunday.,"Normally, I stay at home on Sundays."
There are no homosexuals here.,There are no gay people here.
I have no excuse.,I don't have an excuse.
An artist must have an eye for color.,An artist has to have a color-sensitive eye.
He seems to have known the truth.,He seemed to know the truth.
I want to learn how to play the guitar.,I want to learn guitar.
Strict security measures were in force.,Broad safety measures were put into effect.
I never knew what Tom was doing.,I didn't know what Tom had done.
Tom aced the test.,Tom aced the exam.
They brought trouble on themselves.,They are looking for trouble.
Swimming in this lake is not permitted.,Swimming in this lake isn't permitted.
Call me when you are ready to go.,Call me when you're ready.
His sister is a popular TV personality.,His younger sister is a famous TV star.
Tom felt great.,Tom felt wonderful.
Tom is irresistible.,Tom is very attractive.
Tom said I look terrified.,Tom said I looked terrified.
He wasn't concerned with his afterlife.,He didn't care about going to Heaven.
"These are tough moments, I know.","These are hard times, I know."
We are longing for world peace.,We want peace in the world.
The birch has white bark.,Birch trees have white bark.
I think he is Mr Brown.,I think he's Mr. Brown.
I think I'll take it.,I think I'll take this one.
You are right in a way.,You are right to a certain extent.
It took us a week to locate their hideaway.,It took one week to locate their hiding place.
Tom had an upset stomach.,Tom has a stomachache.
I was compelled to go there.,I had to go.
What is the age of the oldest?,How old is the oldest one?
Tom yelled for help.,Tom screamed for help.
Tom and Mary were both scared.,Both Tom and Mary were scared.
Tom will find out the truth.,Tom is going to find out the truth.
Let's decide the winner by lot.,We will vote to decide the winner.
My parents left the church.,My parents came out of the church.
He is no more than a dreamer.,He's just a daydreamer.
Where is the Customs Service?,Where is Customs?
My guess is that it will be fine tomorrow.,I think it will be sunny tomorrow.
Tom doesn't know that I know.,Tom doesn't know what I know.
Language creates conscience.,Language creates awareness.
I need a fish.,I need fish.
Mind your head.,Watch your head.
I can't speak English as fluently as Naomi.,I don't speak English as fluidly as Naomi does.
I have to give this book to Tom.,I have to give Tom this book.
I wonder if Tom is tired.,I wonder whether Tom is tired.
Your closet is already packed. You will have to make room for the new clothes you bought somewhere else.,Your closet is already full. Space will have to be freed up somewhere else for your new clothes.
I can trust Tom.,I can depend on Tom.
Tom struggles with this concept.,Tom is struggling with this concept.
What Tom thinks happened could've easily happened.,What Tom thinks happened could have easily happened.
Let's go for a coffee?,Shall we go to drink coffee or something?
I think I broke my leg.,I think my leg's broken.
I scarcely believed my eyes.,I could hardly believe my eyes.
Tom sent Mary a birthday card.,Tom sent a birthday card to Mary.
"When he had said these things, he struck with reversed spear the side of the hollow mountain, and the winds, as a single column, race through the offered gate and blast the lands with a tornado.","So spake the God and with her hest complied, / and turned the massive sceptre in his hand / and pushed the hollow mountain on its side. / Out rushed the winds, like soldiers in a band, / in wedged array, and, whirling, scour the land."
I don't think anyone noticed what Tom did.,I don't think anyone notices what Tom does.
Both of them started crying.,Both of them burst into tears.
It isn't known where the treasures were hidden.,I don't know where the treasure was hidden.
It's a long way from here to school.,The school is very far from here.
Sorry it took me so long to write to you.,"It took me a long time to write to you, sorry!"
Tom told Mary that he thought Alice wasn't cute.,Tom told Mary that he didn't think Alice was cute.
I'm going to see Tom tomorrow.,I'll see Tom tomorrow.
Do you plan to do that?,Do you plan on doing that?
He has been ill ever since Sunday.,I've been sick since Sunday.
I'm here,I'm coming
Do you think I should write to Tom?,Is it fine if I write a letter to Tom? What do you think?
Tom didn't kiss anyone.,Tom didn't kiss anybody.
There is yogurt in the fridge.,There's yogurt in the refrigerator.
"If I have sinned, forgive me.","If I have made a mistake, excuse me."
I'm going to meet him there.,I'm going to meet her there.
I want to buy pineapples.,I want to buy a pineapple.
I told him myself.,I told her myself.
I think he isn't Chinese.,I think he is not Chinese.
What or who is at fault?,Who or what has the blame?
"Do be quiet, please!","Please, I ask that you stay calm."
Money talks.,Money will do anything.
I do not read his novels.,He doesn't read his novels.
You had better not associate with those men.,It'd be better if you didn't associate with men like that.
Tom made that mistake on purpose.,Tom made this mistake intentionally.
I'm adopted.,I was adopted.
Tom told me that he thought Mary was home.,Tom told me he thought that Mary was home.
Welcome to the United States.,Welcome to the USA.
Japan is hot and sticky in summer.,Japan is hot and humid in the summer.
She made a man of a boy.,She made the boy into a fine man.
You should keep the medicine box away from your child.,Medicine containers should be kept out of reach of children.
You read my mind.,You're reading my mind.
I dislike cold weather.,I don't like cold weather.
Tom told me that he likes swimming.,Tom told me he liked swimming.
He's kind of handsome.,He's rather handsome.
"Then fury spurred their courage, and behold, / As ravening wolves, when darkness hides the day, / Stung with mad fire of famine uncontrolled, / Prowl from their dens, and leave the whelps to stay, / With jaws athirst and gaping for the prey. / So to sure death, amid the darkness there, / Where swords, and spears, and foemen bar the way, / Into the centre of the town we fare. / Night with her shadowy cone broods o'er the vaulted air.","Then, like wolves ravening in a black fog, whom mad malice of hunger hath driven blindly forth, and their cubs left behind await with throats unslaked; through the weapons of the enemy we march to certain death, and hold our way straight into the town. Night's sheltering shadow flutters dark around us."
My mom doesn't speak English very well.,My mother doesn't speak much English.
I am the tallest in our class.,I'm the tallest one in the class.
She has a book.,She has got a book.
I should've foreseen this.,I ought to have anticipated this.
"Yes, thanks. Recently I've been roughing it so I was able to get a proper sleep for the first time in a while.","Yes, thank you. I've recently had a tough time, I have only lately been able to sleep normally again."
We were unable to follow his logic.,We couldn't understand her logic.
"Without you, I wouldn't be here today.",I wouldn't be here today without you.
"Death is certain, only the time is not certain.","Death is certain, but its time is not."
Tom said that Mary felt homesick.,Tom said that Mary was homesick.
Tom's skiing.,Tom is skiing.
"Someone said something, but I could not understand it.","Someone said something, but I didn't understand what it was."
Would you like some sugar?,Do you want sugar?
Tom could've kicked himself.,Tom could have kicked himself.
Tom thought Mary was going to help him.,Tom thought Mary would help him.
