anchor,positive,negative
"we need to be discipline my mother taught me morals well , she is a teacher .",my mother was a teacher .,my mom was a nurse at the hospital .
i do not watch much tv . being a nurse takes up all of my free time .,i am an lpn at sacred heart .,i m a judge in the circuit court .
i grew up on a farm in kansas .,i was born in kansas .,my name is mary and i am from colorado .
"bruno mars is my fav , i drive my red car .",my favorite musician is bruno mars .,my favorite singer is kid rock .
i am going to start working in federal court .,my next job will be in the federal court .,i want to be a librarian .
my favorite artist is guns and roses .,guns and roses is my favorite band .,my favorite music artist is isaiah rashed .
code mostly . i am studying to be an engineer . what about you ?,i am in school to be a computer engineer .,i dropped out of college a month ago .
my mother was a nurse .,my mom was a rn .,my mother was a cosmetologist .
i wanted to be an architect but that did not happen .,"when i was a child , i wanted to be an architect .",i wish to be a rock star .
"org , i saw justin bieber , the artist , he is my favorite ! ! !",my favorite artist is justin bieber .,my favorite artist is guns and roses .
wow . i cannot image having to share my vegan oatmeal with 4 siblings lol .,i am a vegan .,i am a carnivore .
heck yea i do ! my favorite is country music .,i love country music .,i like listening to all genres of music except country music .
"i am doing good , i just got back from walking my dog around the park .",i like puppies .,i am not a dog person .
i have 5 pets two cats and three dogs .,we also have three dogs and two cats .,i have 5 pets two cats and 4 dogs .
i have 3 small dogs .,i have 3 dogs and 2 cats .,i have seven small dogs .
"nah , but just you wait . someday you might see a movie i directed .",i want to be a movie director when i grow up .,i would like to work for the smithsonian .
i am great just finished a little cleaning .,i love to clean .,i hate cleaning .
in the library on campus here . only part time though . what do you do ?,i work part time in the campus library .,i work at a museum .
"awesome ! i would like to volunteer , but i have to help on the farm a lot .",i did not go to college because i run the family farm .,i ve recently started working as a freelance designer .
"lol . yeah , same here in florida .","i live in celebration , florida .",i live in a big city .
that sounds interesting ! i work in an engineering office .,i work in an office .,i run a little shop on main street .
yikes ! i also work for peta so you may not like me at all .,i work for peta .,i work at eureka .
nice ! do you like your job ? i want to be a football player .,i hope to be a football player when i grow up .,i want to be a doctor when i graduate .
i have older siblings .,i am the youngest of five .,i do not have any siblings .
i am addicted to my cell phone and have a cat .,i like felines more than beagles .,i am not a cat person .
"well , i am an author so i work at home .",i am an author .,i work as a scientist .
hi there ! i love watching sitcoms on tv . one of my favorites is still friends !,i watch a lot of funny tv .,i never watch tv .
i got engaged one time to be married in france .,"i got engaged to be married in paris , france .",i am divorced .
i love working on and driving my classic chevy .,i enjoy driving my vehicle .,i do not enjoy driving .
i hope to be a football player when i grow up .,i want to be a pro athlete .,i d like to be a teacher in the future .
i am not in a relationship . i mostly hang with my mom and my cat . lol .,i like felines more than beagles .,i hate cats .
i am a lifeguard and love spending time at the beach .,i work as a lifeguard .,i am an acrobat .
"that sounds interesting , mostly i am stuck at the bank all day .",i work at the local bank .,i work at a factory .
"okay , i like to eat apples or just about any kind of fruit for lunch .",i like green apples .,some fruit does not agree with me but it is not that bad .
i have 3 children they are alright .,i have a bunch of kids .,i have four children they are alright .
it was beautiful i fell in love with fresh meat while there .,i eat a lot of meat .,i do not like to eat meat .
yes i travel by bikeits blue my favorite .,my favorite color is blue .,i really dislike things that are blue .
i was just eating a lot of meat .,i eat meat .,meat is disgusting .
yes tennis is great . i now teach elementary school .,i want to teach kids in elementary school .,i want to be an explorer .
good for you ! i am studying at a business school . do you like music ?,i go to school for business .,i took classes while growing up .
okay . just finished dinner . . . . third time i had steak in the last week !,my favorite food is steak .,i only like certain foods .
i like folk music cause . . that is normal in the navy apparently . . .,i am in the navy .,i work for a large company .
i am impressed . the only skill i have is working on the railroad .,i work for the railroad .,i work in a flower shop .
a sweet desert would be welding collar coasters as i love riding them !,i am training to be a welder .,i am a harvard alumni .
do you like fried chicken it is my favorite .,my favorite food is fried chicken .,pizza is my most favorite thing .
"i love traveling to the country with my family and collie , and listening to country music .",i like to be on the road with the people .,heavy rock is my preference in music .
its great to have time for yourself . but i cannot wait for christmas . all the decorating .,i start putting up ornaments and garlands early in december .,i hate christmas .
i train dogs at an obedience school .,i like to train dogs .,i hate dogs .
we are still planning the wedding . i got engaged a year ago at a rock concert .,i am engaged .,i am divorced .
my family hates me because i quit college . i would like to be a dog or bear .,i do not get along with my family .,i am very family oriented .
have you ever ate a dish called lutefisk ? its the best dish to me .,lutefisk is the best dish in the whole world .,i hate the taste of fish .
i am an actor . hoping to move onto production eventually .,i have been acting since i was ten years old .,i am a mechanic .
i love being vegan too ! the other baristas i work with are vegans too !,i am a vegan .,i am a waitress at a local restaurant .
"wow , 3 ? i wanted kids but ended up at law school instead .",i went to law school .,i am currently in elementary school .
i am mostly with my family when i am free . kids ?,i love kids and am a doctor .,i am a disgruntled worker .
i still work in the lab all day . it is important though .,my work in the lab was always most important to me .,i am an investor with stocks .
i have always wanted to cook for people .,i like to prepare meals .,i do not like to cook .
i like musicals and movies about music . my favorite show is the voice .,my favorite show is thevoice .,my favorite show is scooby doo .
"yes , sorry about that ! my dog interrupted me . i love dogs .",dogs are my favorite animal .,i hate dogs .
i am a petsitter .,my newest career has taught me to be social .,i work all the time .
i am eating lunch in the teachers lounge today .,i work as a teacher and love my job .,i have a job in a supermarket .
"i mostly watch star trek and listen vv nation , my favorite band .",my favorite band is vv nation .,i m in love with adam levine .
i do not have children yet . i spend my time reading .,i spend time with books .,i got hitched to my high school sweetheart and we now have several children .
i am just looking up places to travel to .,i like to travel .,i do not travel .
i think i would rather stay in lifeguarding honestly .,i work as a lifeguard .,i an a professional painter .
i have a small family . i live alone in portland maine .,"i live in portland , maine .",i live in alabama .
i work as a barista . i speak several languages so i get hired pretty easy .,i am a barista .,i work as an electrician .
yes i am . though i could definitely get a job as a pro eater .,i would love to be a professional eater and not get fat .,i want to be a famous photographer .
i listen to california love while driving my fast car .,i hate driving in the summer my vehicle is so hot .,i do not drive .
yeah then maybe i would not be a genius janitor .,i work as a janitor .,i m a truck driver in the south .
"i have not done that , because i am young and my mom is a busy teacher .",my parent educates others .,my mom is a checker at the local grocery store .
that is too bad . i will try not to ask any more . i enjoy country music .,my favorite type of music is country .,i like listening to all genres of music except country music .
"no time , busy writing . i am naming my book grey things after my favorite color .",my favorite color is grey .,i never learned how to write .
i am not a dog person .,i hate dogs .,i love canines .
my three friends all hate john gresham books .,"i enjoy john gresham movies , but not his books .",my favorite hobby is reading novels .
"that is a great career , mine is mcdonald , nothing special like yours .",i work at mcdonald .,i work for the discovery channel creating videos .
"i never eat meat . i am a vegan . no judgment , though .",i am a vegan .,i am an omnivore .
most things art . i am a painter as well . hope to paint my own book covers .,i am a painter and love to create art .,i do not enjoy using acrylics .
i have a son .,i have one son .,i do not have children .
"hi , my name is kimmy blonde hair brown eyes . just watching tv .",i have brown eyes .,i have black hair .
i have a hectic job .,i work five days a week .,i am in a long term deal .
"well , i have always wanted to visit other countrys . i have never gotten away from here .",i have never been out of the country .,i like to travel to europe .
i love brown . the color of my favorite drink coffee .,coffee is important to me .,i do not like coffee .
i just came from my run . six miles everyday .,i run six miles a day .,i run more then 2 miles a day even though i hate it .
since young i have loved fashion .,since young i ve loved fashion .,i am a casual dresser .
you can do anything you can . that is how i am getting through school .,i want to be an entrepreneur when i get out of school .,i would like to work for the smithsonian .
"that is so true , and i am always working on a business deal . lol .",i am a business man .,i work a dead end 9 to 5 job as a snakeskin oil salesman .
just a dull boring life as a librarian here . i love chocolate too .,i am a librarian .,tomorrow is my first day of safety patrol .
managing a restaurant sucks . i have to put 60 hours a week . you sing ?,i work over 60 hours a week as a restaurant manager .,i am a lifestyle blogger .
"ewww , i am a vegetarian so i hate hot dogs .",i m an ovo vegetarian .,i am primarily a meat eater .
because i married 3x to the wrong people .,i am currently on my third marriage .,i am single and not looking .
that is a good job . i played football in high school before i dropped out .,i dropped out of high school .,i am a student living at home while pursuing my music industry degree .
good afternoon ! i need a lot more coffee . lol .,i love coffee .,i do not like coffee .
yes not many are as fortunate . that is why i want to be a teacher !,i am in college now and want to be a teacher .,i want to be a museum curator .
"do you like a dish called lutefisk , it is the best in the world .",lutefisk is the best dish in the whole world .,i hate the taste of fish .
i study biochemistry .,i am college student in biology department .,i am a graduate student .
that sounds awesome . i am a waitress .,i am a waitress at a restaurant .,i work as a clerk .
i have a bmw . i bought it when i attended stanford .,i went to stanford .,i am a harvard alumni .
"yes , it was . her dream was to start a restaurant . i opened one 3 years ago .",i opened up a restaurant three years later .,i work for a large hospital .
i work at the museum downtown . i love it there .,i work at a museum .,i run a little shop on main street .
i am okay . i am singing .,i m a shy person but i love to sing .,i can t sing very well .
"yeah , it is over in portland , maine . it is beautiful here .","i live in portland , maine .",i recently moved to sweden .
nyu . great restaurants around that area . good that they do not have mexican food .,i hate mexican food .,my favorite food is mexican food .
i like listening to all genres of music except country music .,my least favorite music is country .,i listen to country music .
i am great . i was watching silicon valley .,my favorite tv show is silicon valley .,one of my favorite shows is face off on say .
"hard for me to find new work , being ovo vegetarian and all .",i am an ovo vegetarian .,i eat eggs and bacon for breakfast .
for sure i love to eat green foods mcdonalds makes me sick .,my favorite color is green .,i currently work for ibm in chicago .
maybe i can get a teaching job sooner but school is started so . . i do not know .,i will be graduating in september and hope to get a teaching job soon .,i m applying for publishing jobs .
i am a peta associate i frown upon you .,i work for peta .,i am the leader of the french fry research department at del taco .
i have blonde hair that reaches my knees .,my hair is long and blonde .,my hair is brown and curly .
i am currently studying at union college and want to be an english teacher .,i attended higher education .,i graduated college and immediately went to graduate school .
hey there ! its dave here from las vegas .,my name is dave .,as a kid i lived in southern united states .
we will be traveling to niagra falls for our honeymoon .,i recently proposed to my girlfriend of three years .,i m recently divorced .
that is great ! i wish i could get out of this warehouse job .,i work in a warehouse .,i work at a smoothie shop .
for 2 months lived in a storage locker bc i spend on alcohol .,i once lived in a storage locker for two months .,i go to the stable once a week .
i got in the circus business through my grandfather and dad .,i work in a circus as a juggler .,i work at a factory .
not bad . there are 3 cats that i own as pets .,i have 3 cats .,not bad . there are 12 cats that i own as pets .
looks like your mom is a happy person like me .,i am a happy person .,i am stuck in the past due to remoteness .
i am currently taking some college level classes at my private high school .,i go to a private high school .,i went to medical school .
my favorite band is radiolead .,my favorite band is radiohead .,my favorite band is pearl jam .
"have kids , and i do not like those so . . .",i don t like kids .,i love working with kids .
i also enjoy reading about trains also .,i like books about trains .,i am done with books .
i used to live in upstate new york .,i live in new york city .,i am in an urban are .
nice . i read a lot about vegan before becoming one .,i am a vegan .,i eat exclusively meat .
i recently joined the army after i flunked out of college .,i am in the army .,i am employed by the government .
i just graduated high school .,i just graduated high school with honors .,i do not do well in school .
does he like school too ? i like school a lot .,i really like to go to school .,i never went to school .
i like to train dogs .,i think dogs could learn to read if they were trained well .,i hate dogs .
not the worst . super tired from chasing my 12 kids around all day though .,i have twelve kids .,not the worst . super tired from chasing my fourteen kids around all day though .
cool . i am in a band what do you do for a living ?,"when i am not touring with the band , i like to garden .",i do not like gardening .
she has lots of them . she plays for the kids at the candy store i work for .,i work at a candy store .,i run a little shop on main street .
i like making pasta .,i enjoy preparing meals .,i cannot cook .
i am an accountant . so i like playing with numbers .,i like working with numbers .,"i hate to workout , but i need to ."
i love canines .,i think dogs could learn to read if they were trained well .,i hate dogs .
cool . i do not get too much time when i am on tour .,i like to spend time outside .,i can not be in dirt .
that is good i am still in high school .,i go to high school .,i went to miami university .
sweet . what do you teach . i teach what i love doing singing .,i like to sing .,i can t sing very well .
i am not a vegan . i enjoy spicy tex mex food though .,my favorite food is spicy tex mex .,my favorite food is raw onion .
i am done with school . i just became engaged !,i currently am engaged to my high school boyfriend .,i just became single my girl left me .
"that is awesome . i love animals . i am mainly a meat eater , actually .",i am primarily a meat eater .,i do not eat meat or anything made from animals .
i am a waitress at a restaurant .,i work as a waitress .,my job is in the financial field .
i am not in the army . i am an accountant .,i got a job as an accountant 3 months ago .,i work 9 to 5 job .
i work online for a tax company . game of thrones is cool .,i recently started working online .,i am the leader of the french fry research department at del taco .
"my family is fun , hard working folks . i will work but not my thing .",the idea of working is not my cup of tea .,i enjoy working .
oh nice ! you must enjoy hiking like i do singing .,i like to sing .,i can t sing very well .
i love photography in the spring .,my favorite season is spring .,my favorite season is duck hunting season .
i do not like fresh greens .,i never eat veggies .,i like eating vegetables .
"sounds fun ! i am eating some shrimp , it is my favorite .",my favorite food is shrimp .,i can t eat shrimp .
"i am a musician , but do accounting to make money .",i am a musician and a brain .,i am a receptionist at a doctors office .
"swimming , it is how i get around mostly .",i like swimming .,i am afraid of drowning .
i am a huge reader . i am re gently divorced to so lots of time lol .,i am divorced .,i am married and have five children .
i love to write ! want to be journalist but have settle for selling washers at sears .,i want to be a journalist but instead i sell washers at sears .,"when i was a child , i wanted to be an architect ."
i love basketball .,lebron is my favorite player .,i am not very good at playing basketball .
my dad told me the meat in the military is awful .,my father was also in the military .,i do not like to eat meat .
my favorite music is country .,my favorite type of music is country .,rock music is my favorite .
"my 3 children help me a lot , i like to put them to work !",i have three children .,"my 8 children help me a lot , i like to put them to work !"
neither do i . they play it at target while i am working .,i currently work at target .,i currently work at mcdonalds .
hi ! i am single mother who lives alone . father has custody after the divorce .,i am single and live alone .,i got married to my highschool friend .
my walls are orange because that is my favorite .,my favorite color is orange .,my favorite colors are pretty basic .
i am unemployed right now . maybe applying at a pizza joint !,i love pizza .,i cannot stand pizza .
i am short .,height is missing from my stature .,i am 6 feet tall .
i just got off work waiting tables .,i make and me by waiting tables .,i am an acrobat .
i was running when i got the idea ! i am just good at numbers .,i enjoy running .,i cant stand to jog but i push myself .
"no i cannot . i live in new york , legally i can only own one pet .",i live in new york city .,i live in a medium sized city .
"my wife and kids like to fish , we have a cabin cruiser we take on lake michigan .","i live near grand rapids , michigan .",i live in an apartment .
reading tarot cards and coffee . but my favorite thing is popcorn .,my favorite food is popcorn .,i hate popcorn .
"i am married , 3 sons and 4 daughters .",i have four daughters .,"i am married , 3 sons and 8 daughters ."
i work for google as an engineer .,i am a software engineer .,i work at eureka .
"sports are not my thing . i never finished high school , it was boring , i dropped out .",i dropped out of high school .,i m also a fulltime student studying radiology at local college .
last month the farm was foreclosed so i m looking for a new job .,last month the farm was foreclosed so i am looking for a new job .,i used to be a nurse .
we are the ohio trio . my brothers and i .,i am the youngest of three brothers .,i live in texas .
"really , i also like listening to music especially country .",i enjoy listening to country music .,i do not like country .
i love travel . i have been to many countries in europe and asia .,i travel all over the world .,i never go traveling with anyone .
"do you cook meat ! i love anything meat and pizza is my fav , of course !",i love meat .,i don t like to eat meat .
i understand that . i am also a volley ball coach for girls .,i coach the girl s volley ball team .,i am a software engineer .
i am a guy and the name is jace . i love ice hockey and enjoy math .,math is my favorite subject .,i can t do math .
no i quit drinking alcohol now i listen to isaiah rashad to relax .,my favorite music artist is isaiah rashad .,i enjoy alcohol to unwind .
"i do , but i like snakes more . i have two .",i own two snakes .,"i do , but i like snakes more . i have 4 ."
i am rather short .,i am very short .,i am in the 99th height percentile .
"awe , i do not have dogs but i have a beautiful daughter .",i have a female child .,i have a small beagle dog who i call droopy .
"i used to teach , now i am a librarian . hence the love for books .",i am a librarian in my current job .,i am in charge of coaching girls sports .
"i love country , but everyone that listens to it eats meat . blah .",my favorite music is country .,i like listening to all genres of music except country music .
i am married . no kids though .,i married my high school sweetheart .,i am a single parent of boys .
"when i am not working at the gas station , i sell encyclopedias . you ?",i work at the gas station as a part time job .,i am a dog walker .
i am an accountant and enjoy reading .,i work as an accountant .,i am in charge of my dad and moms company .
i have three best friends and two of them have beagles .,i only have three best friends .,i have 8 best friends and two of them have beagles .
my mother is an art teacher at my old school when i was a kid .,my mother is a teacher .,mom in telecommunications .
i hate school .,i never went to school .,i like to go to school .
wow . impressive ! i do like to travel . i like to try different vegan cuisine .,i am a vegan .,i eat eggs and bacon for breakfast .
i do not eat fast food i only like certain foods .,i only like certain foods .,i am a fruitarian .
wow i work as police officer where do you live .,i m a police officer in a suburb of detroit .,i am an elementary school teacher .
"that is understandable , i am actually married with two lovely children .",my children are my life .,i am divorced .
yeah i have hair extensions for me and my dog that are blue too . i need help .,i love dogs .,i hate dogs .
"4 cats and 2 dogs , ll . well , and a boyfriend .",we had 5 felines but one had to go since it hated both of our mutts .,"11 cats and 2 dogs , ll . well , and a boyfriend ."
i hate cleaning up after my husband and children .,i hate cleaning .,i love to clean .
"i used to play concerts , i am a guitarist , now i work online .",i recently started to work online .,i work in a snack shop .
i always liked making food .,i like cooking healthy meals .,i never cook .
"florida , but i travel around as a programmer , basically a nomad .",i work remotely as a programmer .,i am a profesional translator .
"i like walks too . especially when the sky is blue , that is my favorite color .",my favorite color is blue .,i do not like blue .
"good , idea . i always drink a ton of caffeine .",i drink a lot of caffeine .,i cannot stand the smell or taste of java .
i am tall at almost 6 feet tall .,i am six feet tall .,i am only 5 foot tall .
never ! i bet that tastes great though . i think it would be very meaty . i love meat .,i love to eat meat .,meat is disgusting .
"fun , jammin to my fav band insane clown posse while designing .",my favorite band is insane clown posse .,i am a huge fan of jason mraz .
wild horses . my mom was a nurse and she would listen to it after work .,mo mother worked as a nurse .,my mother works in healthcare .
i love fishing and cheeseburgers .,i like to go out fishing .,my favorite food is salad .
yeah to be a casino manager . super fun .,i am currently going back to school to try and become a casino manager .,i want to be an entrepreneur when i get out of school .
"hello , i am apart of the military .",i m in the military .,all i do is stay at the office .
but my husband do not want to .,my husband just decided to leave me .,i am single and looking .
cool ! i want to be a teacher for special education . so i am studying for it .,i am studying to be a special education teacher .,sometimes i dream of leaving work and being a groupie for a pop star .
that sounds like a very stressful job . i would be too quiet to work somewhere like that .,people in school said i was quiet .,i am never still .
"same , thinking of ordering a pizza . wish i could get sushi !",i love to eat sushi and pizza .,i cannot stand pizza .
not so much but my wife and 2 kids back in the states do .,i have a wife and two kids back in the states .,i am single and go on dates regularly .
how cool ! i want to learn how to help pets when they get hurt .,i like to care for pets .,i hate pets .
i was living in a storage locker for 2 month .,i once lived in a storage locker for two months .,i work in a stable .
i work at a craft store .,i work in a craft store .,i work at a doctors office .
"i cannot afford to that , even though i have been slaving at my job for seven years .",i have been at my job for seven years .,i work all the time .
i work as a doctor .,i am a doctor .,i am also a landlord .
"admittedly , its pop music and well country is number 1 right now .",my favorite music is country .,i hate the country music .
"that is a lot of running , i was too tall for soccer .",i love to be run .,i cant stand to jog but i push myself .
yeah . i am thinking about taking a trip because i love to travel .,i want to see the world .,i do not travel .
my brother raised me after our parents died .,i am the first born son of many brothers and sisters .,i do not have any siblings .
at least i can watch tv in the hospital and get some fresh air while waiting .,i like watching tv in my free time as well .,i do not much like tv .
i am a nurse i can help .,i am a nurse and work in an emergency room at a busy hospital .,i am an elected official .
i would love to take a cooking class . meats are my favorite food just not good at cooking .,i love meat .,meat is disgusting .
"i do i have 3 , all dogs .",i have 3 dogs .,"i do i have eleven , all dogs ."
since i work nights it makes it hard to date .,i work nights now and like my job .,i am currently unemployed so i have time to write .
"haha yeah , i like football and country music .",i love country music .,country music makes me cringe .
i sometimes wonder why i m not married .,somebody put a ring on it .,i am recently divorced .
correct ! let us be 6 foot tall in a pool together .,i am taller than average .,i am a very short woman .
sometimes i help in my mom classroom she is a teacher .,my parent educates others .,my mom is a music teacher at the elementary school .
i love cooking but not baking . of course that would be cool .,i cook my own meals .,i cannot cook .
i have to be outdoors all the time i love fishing .,i like spending my time outside .,i can not be in dirt .
i work right here at home on the family farm in kansas .,i spent my entire life in the sunflower state .,i live in chicago .
i am an emt for the hospital .,i am employed as a emt .,i am employed in animal safety and rescue .
i went to college in chicago .,i went to college and graduated few years ago .,i went to the university of north carolina .
i am eating indian food . i love ethnic foods and i cook them very well .,i love to cook ethnic foods .,i really do not enjoy preparing food for myself .
yes . i love that i married my sweetheart .,i married my high school sweetheart .,i m recently divorced .
the kind of fish will do as long as .,breaded tilapia is my favorite dinner dish .,i hate the taste of fish .
"i love eating breakfast for all my meals , , , , eggs and bacon .",i like a full meal at the start of the morning .,i don t eat meat .
maybe you should try vegetarianism . meat makes you fat .,i m a vegetarian .,i am a carnivore .
yeah sweets are delicious to me .,my weakness are sweets .,i do not eat sugar .
"well now i am a baker , i do okay and have no regrets .",i am a humble baker .,i work as a janitor .
i have yappy little dogs .,my puppy picked my two soulmates .,i do not own any pets .
that is cool . i am a very experienced nurse and i love my job .,i am nurse .,i am a journalist .
i m too short to reach the top shelf .,i am 5 3 and am the shortest person in my family .,i am 6 feet tall .
perhaps you have photographed some of my musician friends though . you sound pretty creative like my parents !,i dream of playing music for a living .,i want to be an actress .
that is really cool . one day i plan on opening up a restaurant .,i would like to open a restaurant someday .,i am studying to be a dentist .
"i am sad about moving too , but that is the life of a truck driver .",i am a truck driver .,i am a disgruntled worker .
i drop off baking goods in my state where i reside .,i deliver baked goods in the state where i live .,i am a librarian in my current job .
i am doing good consider i just finished smoking 2 packs of cigarettes .,i like to use tobacco products everyday .,i am doing good consider i just finished smoking 8 packs of cigarettes .
i hate country music . it makes me sick but you might like it .,country music makes me cringe .,i love country .
oh . i enjoy running marathons and watching netflix .,i like running in marathons .,i cant stand to jog but i push myself .
tv or music . i am usually working a lot with the railroad .,i work for the railroad .,i wait tables at a cafe .
i am married with one child .,i have one child .,i am married with 10 child .
"london is a lot of fun . you will love it . . lots of poets , like me , from there .",i am a poet .,i am an entrepreneur .
i have just 3 best friends . we hike in the woods around here often .,i only have three best friends .,i have just eleven best friends . we hike in the woods around here often .
feaf . drives my brothers crazy that a blonde girl is better then them . ll .,i have blonde hair .,i have brown hair .
"i love pizza , as a teen age blonde girl that is so normal .",my favorite food is pizza .,i am a natural brunette .
"i run a lot , my wife cut out of me . it is cool .",my wife just left me .,i am not married .
yea . i guess i am like fishman . my eyesight is like beyond perfect too .,i like to only eat fish .,i hate the taste of fish .
"must be nice . i work full time , but i really like the job i have .",i like my job .,i do not like my job .
"oh that sounds like fun , i am a major dog person .",i love canines .,i hate dogs .
i work at a deli counter . how about you ?,i work at the deli counter .,i am in the navy .
"i have been into disney movies lately , they are my favorite ! !",my favorite movies are disney movies .,my favorite movie genre is horror .
do you listen to country music ? it is my favorite .,my favorite music is country .,i am open to anything besides the hillbilly stuff .
"that is why i love fall , because its orange everywhere .",my favorite color is orange .,crimson is a hot color on my foot .
not bad . enjoying a beautiful day here in colorado .,i live in colorado .,i recently moved to florida .
well i work at a cafe . i wait tables .,i wait tables at a cafe .,i work for the government .
unfortunately working . i work for a cab company as a contractor . you ?,i work as a contractor for a cab company .,i am a librarian in my current job .
ever been to the great white north ? that is canada to you and me .,i live in the great white north .,"my name is john and i live in dallas , tx ."
that is too many . only 2 dogs for me .,i have a pit bull and a chihuahua .,i hate dogs .
"i do not know , what i do know is that i am tall and smart .",i am well built and tall .,i am not tall .
indianapolis . i am single .,i am not inside of a marriage .,i am engaged to be married .
"i did not finish school , i enlisted in the army instead .",i am in the army .,i work at the local bank .
"yes , i spend my weekends studying and looking over client files .",my weekends are spent studying and looking over client files .,i graduated college a few years ago .
"no i have not , i have never gone out of california .",i live in california .,i enjoy living in florida keys .
"aw that is nice . i am not in a relationship right now , in college i just focused on swimming .",i could have swam in the olympics .,i am afraid of drowning .
i lift a lot at the gym .,i love zumba .,"i hate to workout , but i need to ."
"hello and greetings from austin , texas !",i m from texas .,i grew up on a farm in kansas .
do you like macaroni and cheese ?,my favorite food is macaroni and cheese .,my favorite food is cheese .
i love mashed potatoes and am vegan .,my favorite food is mashed potatoes .,i am an omnivore .
i do like comedy but would rather go swimming .,i enjoy swimming .,i am afraid of drowning .
i am good . just working out since i obsess on that and being the best .,i try to be too fit .,"i hate to workout , but i need to ."
i am employed at a business that serves mocha and other caffeinated drinks .,i am a barista .,i am a personal chef .
yes i been divorced almost 3 years .,i ve been divorced for 2 years .,i got married when i was young .
"blue , it is the only color , it is what i love , blue ! blue !",my favorite color is blue .,i really dislike things that are blue .
"as long as its not fast food , we will be good .",i hate fast food .,i love fast food .
i love having my grays dyed back blonde . i only grow herbs inside for cooking .,cooking is my passion .,my hair is curly and dark .
"since i run a daycare , i have a van .",i work at a daycare .,i work in an auto shop .
very nice ! i am currently a college student . hope to be a teacher soon .,i wish to join education .,sometimes i dream of leaving work and being a groupie for a pop star .
"yes i am a grill master but only 3 dogs to share with , lol .",i have 3 dogs .,"yes i am a grill master but only 7 dogs to share with , lol ."
"yes i can , i have amazing eyes . i believe it is because i only eat fish .",i like to only eat fish .,i hate the taste of fish .
that is great ! i just got off work as a barista .,i am a barista .,i am employed as a reporter .
"when i was little i wanted to be an architect , but wedding planning is so much better .","when i was a child , i wanted to be an architect .",when i retire i want to open a bakery .
my dogs would probably love to go on a hike but i never take them .,my favorite pets are canines .,i hate dogs .
i am 35 and still single .,i m still single at the age of 35 .,i got off the road when i married my sweetheart .
"i have dogs and some pet iguanas , they make cleaning up difficult .",i have a few pet iguanas .,i hate dogs .
