anchor,positive
maybe you should try vegetarianism . meat makes you fat .,i m a vegetarian .
i love to play with my cat and dog .,i love dogs and cats .
she does . my boyfriend loves her fish tacos with cilantro lime slaw .,my boyfriend works for nasa .
i like playing sports with my friends . i also love concerts . country mostly . you ?,i like spending time with friends playing sports and going to country concerts .
heights are scary . the only think i do not like is music .,i don t like music .
i have absolutely no energy ! i stay home with the kids . but i am a serious cleaner .,i do not have much energy .
yes i do . i learned while i was traveling last year .,i like to travel .
"i am starting an internship in a few months , engineering .",i start an internship in engineering later this year .
i watch a ton of mma .,i like to watch ma .
i really enjoy drinking iced tea .,i drink lots of iced tea .
i do not make the healthiest dietary choices .,i do not eat healthy .
i am employed ay a grocery store .,i work at a grocery store .
"wow ! i bet . since my mom has been staying with me , i do not watch tv much .",my mother lives with me .
"well thank you , just planning my trip to paris . how are you ?",i am traveling to paris this year for my vacation .
that sounds fun ! i wish i was an explorer .,i want to be an explorer .
i do not like athletics .,i detest anything to do with going fast on legs .
my car is black and it go fast .,i drive a black car .
i am going to read . i have access to tons of books from work .,i like to be around books .
"i love cats ! , i have 2 dave and miss sampson .",my best friends are felines .
i can relate . extra weight does not look good on a short woman like me .,i am a very short woman .
"oh , my father was in the navy , but then he became a cop .",my father used to be a cop .
"i love traveling , maybe i can come to a game sometime .",i love to travel .
"i enjoy swimming , but you have to wait after eating .",i like to swim .
i am vegan even better .,i am a vegan .
i could not imagine a robert deniro movie with no sound .,my favorite actor is robert deniro .
"great , recently i enjoyed a private lunch with my friend will ferrell .",i recently had a private lunch with will ferrell .
well age is 17 and i go to a catholic school in new england and you ?,i go to a catholic high school in new england .
"they are really good , but my fave is bruno mars .",my favorite musician is bruno mars .
she lives in the states and have several lovers .,i have a wife and two kids back in the states .
hi names barbra and i started to become vegan 2 years ago .,i am a vegan .
no i just like to be in wide open spaces . i should start farming .,"i like wide , open spaces ."
i am a farmer and grow my own food .,i didn t go to college because i run the family farm .
only to the fridge for my coffee creamers . . right now i have 5 flavors to choose from .,i have five different flavors of coffee in my fridge .
i am a scientist .,my work in the lab was always most important to me .
"red is a beautiful color , my wife has a red dress she wears when we go dancing .",dancing is my passion .
"cool , its my first year in college and i am pretty athletic .",i am athletic .
i am okay . a little tired from band practice .,i am in my high school band .
i work as a secretary for an insurance company .,i work as a secretary at an insurance agency .
"hello , great i just finished playing soccer .",i defend the goal .
my red car would be faster .,i drive a red car .
i go running often maybe i will come see you .,i go running a lot .
i actually play professional basketball for the minnesota wolves .,i play basketball .
wow that is early . at least not while i am listening to classic radio programs .,i like classic radio programs .
do you like animals i love my dog george .,my puppy is called georgie .
"i am good , went swimming today .",i love the water .
disney movies are fun . i like fast cars as fast as my motorcycles .,my car has to be as fast as my motorcycle .
awesome ! french fries were all i ate this weekend . did you have any ?,i also eat too much french fries .
no but i used to be i am employed at a pizza restaurant .,i work in a restaurant .
that is sweet . i do not have family . no parents or siblings that is .,i have no parents or siblings .
my parents were like that when they were in politics .,"my parents used to work in politics , until they discovered the goodness within themselves ."
we definitely should meet up . maybe i go to new york .,my favorite city is new york .
i like subway because i can share the meat with my cat .,"you should meet fluffy , my feline companion ."
then it sounds like you love cooking .,i enjoy cooking but not baking .
i do not like running either just dancing in my high school .,i am in high school .
"no , i am a solo gardener in a small city .",i live in a small city .
ewww no . plants are better than boys .,i really love plants .
i can only say green in spanish .,my favorite color is green .
"yeah , it was . my sunday school students went and they loved it .",my mother was a sunday school teacher .
i am a fruity man .,i like fruit .
i love dogs . they are way better than cats . i am allergic .,i am allergic to cats .
my college courses are on philosophy and history .,i will be attending college in a state south of west virgina .
"absolutely , last time i was in a mall was for senior prom photos !",i still have a photo from my senior prom in my wallet .
i love to sing i am in my school chorus .,i sing in the school chorus .
"nice , what is your favorite food , i like pizza .",my favorite food is pizza .
oh that is a good idea for a new business . i want to start one .,i am looking to start a business .
i like to take the kids and dogs on nature walks . good excuse to leave the house .,i love to take my children on nature walks .
i have a mercedes as a car .,i drive a mercedes .
i work at a court house as a judge .,i m a judge in the circuit court .
malamute . i like big dogs but next one may be an ankle biter .,i love canines .
i work at mcdonalds .,i currently work at mcdonalds .
me too ! want to go eat italian and compare notes about helping animals .,i enjoy helping animals .
"yeah i do not mind . i go hiking every fall near my vacation home near stone mountain , ga .",i have a vacation home in the mountains .
i really like technology .,i rely a lot on technology .
"not bad , do you go to comic con ?",i like to go to comic con .
that is what cell phones are for ! i take animal pictures a lot .,i couldn t live without my cell phone .
i am an insurance agent at an insurance firm .,i work at an insurance firm .
that sounds interesting ! i work in an engineering office .,i work in an office .
i like the walking dead i am not really a movie person .,i love the walking dead .
i meet well educated people at the book store . do you like to read ?,i like to sell books to people .
i edit t . v . commercials mostly .,i work in commercials .
it is a person who drinks no alcohol . i am content very .,i am content with my life .
i hope so . although my parents wish i was not an actor .,i did a few small roles in tv series .
"it is good to do what you enjoy . belive it or not , i love cleaning .",i love to clean my house .
"me and my father were both in the military , so history is important to me .",my father was also in the military .
i try to stay very organized .,i like things in organized .
i like dogs too . i volunteer at the animal shelter .,i like to donate time at the local animal shelter .
i need to head on down to the walmart in a minute .,i like to do all my shopping at walmart .
now i work as a pharmacist ! not as fun !,i am a pharmacist .
i was a wrestler in high school .,i used to wrestle .
i am sad . i love a girl who does not know it .,i am in love with a girl who is unaware of it .
"i do not work out . i do love music , especially 2000s indie .",i like early 2000s indie music .
i find that insane . i enjoy sushi .,my favorite food is sushi .
yes it is . although big boo i like my suv .,i drive an suv .
i just hit the big 30 ! it has been tough besides that unfortunately . carreer changes . . .,i m a 30 year old male .
"i am a writer . i won a spelling be as a kid , so i love words !",i have been published in the new yorker magazine .
"i prefer not to do stuff like that , but i do like traveling .",i like going to canada .
my favorite sunset color is red orange .,my favorite color is red orange .
i have older siblings .,i am the youngest sibling of four .
i like beets . how about you ? what is your favorite vegetable ?,i think beets are the best vegetable .
"i suppose i should agree , being from kentucky and all .",my parents live in kentucky .
oh great ! i have tried 35 kinds . i work for a brewery as a financial analyst .,i am a financial analyst for a brewery .
got to get away from my husband i live in florida . celebration florida come meet me .,"i live in celebration , florida ."
i really enjoy cycling .,i love bicycling .
i have been better . all that chocolate last night have me a tummy ache .,i love chocolate .
i love chocolate foods it is so good .,chocolate is my favorite food .
i work at a grocery store in the deli counter .,i work at the deli counter .
i like to only eat fish .,i love to eat fish .
"ok i hear you . me too . that is why i just graduated , and i am 28 . haha .",i just graduated from high school .
i have a dog and cat . i adopted my dog when he was still a puppy .,i adopted all my dogs .
you should be a pro pizza eater .,my favorite food is pizza .
"yes , i bought a painting by bob ross and paid via bitcoin .",my favorite artist is bob ross .
"i live on a farm too , a pig farm .",i live on a pig farm .
and have two children .,my children are my life .
feaf . drives my brothers crazy that a blonde girl is better then them . ll .,i have blonde hair .
"on the weekends i have a netflix family night , and horse riding in the day .",i enjoy watching netflix with family .
i only got one friend . . we like to throw rocks off the jetty .,i have one close friend i grew up with .
i really like katy perry .,i like katy perry as a musician .
i do not like cooking but my hobby is to watch sports .,i really do not enjoy preparing food for myself .
that is good they make you happy . i enjoy gardening .,i love to keep a small garden outside of my house .
i m a breath of fresh air .,i am very excited .
i need a hearty breakfast to work this chicken farm .,i love chickens .
wow okay . i like magic mike so pool boys could be nice .,magic mike is my favorite movie .
oh that sucks ! you should listen to bob marley his music brings peace .,i lived most of my life not knowing who bob marley was .
awesome . i wish i was a dentist like my mom .,my moms pulls teeth at work .
"that sounds really nice ! i have a home in the mountains , but i live in the city .",i have a vacation home in the mountains .
"sounds good . after swimming , start the grill and throw some apples on .",i like green apples .
"hello , that sounds fun ! i am just about to take my 3 dogs for a walk lol !",we also have three dogs and two cats .
as a kid i lived in southern united states .,my family migrated to america when i was five .
"totally ! i need to . although , i love driving in my car .",i love to drive my car .
i love horse and own many homes . you ?,i have many homes .
that is awesome ! feeling a bit sluggish lately with all the fast food i am eating . . .,i eat too much fast food .
"i am very sorry about that , do you have any siblings ?",i do not have any siblings .
me too lol ! i stay up writing in my spare time .,i journal as often as i can .
music is nice seen drake in concert last night .,one of my favorite artists is drake .
i am more comfortable in suspenders than sports attire . . . lol !,my suspenders sometimes make my shoulders hurt .
"i am on only child . but , i won a lot of trophies when i was a kid .",i have a lot of trophies from my childhood .
i play the guitar in a club . bass .,i play the bass guitar .
"i just lost my banking job a month ago , so i am bored too .",i lost my job as a banker a month ago .
my dad makes commercials .,my father has a very prestigious job .
"hi there , i am sarah and i do love to watch football .",my name is sarah .
we use a lot of public transportation here in canada . you probably would not like that .,i am canadian .
that is what i want to be ! but i am taking a year off before i go to college .,i am taking a year off before i start college .
"hi there how are you ? i like , love meeting new people !",i love making people happy no matter where i am .
i need to go car shopping ! it is over 20 years old !,my car is over 20 years old .
do y ou like to watch tv .,i love to watch tv .
i go running so i do not get fat .,i go running a lot .
cool ! i just dropped out of college . stay in school ! !,i dropped out of college a month ago .
i enjoy running at night .,i was a really good runner when i was younger .
"they like firefighters and nurses , dad and mom respectively . cute kids 3 .",my husband is a firefighter .
"that could have helped , i did not pass the audition but i will keep trying .","i did not pass the audition , but i will keep trying ."
"i love my kids , making art , and practicing my martial arts .",i know karate .
sick sick i am reading the hobbit now .,i like a good book and preparing delicious meals .
"enjoying my last days of summer , college bound in october .",my favorite season is summer .
that is fine as long as my cute little dog and big cat are good with you .,the pitbull i have weighs twice as much as the kitten in the house .
when i am not playing or working out i like fishing outdoors .,i enjoy ensnaring sea creatures and watching them suffocate in my bucket .
i am a sales person and i love it .,i work in sales .
mine too ! it would taste better on the beach though .,i love the beach .
"a small island in hawaii . off the coast of maui , its not even on a map .",i live on an island .
i just had some delicious hamburgers !,i love hamburgers .
hello i am ray and i still in high school .,i go to high school .
i hope to be a football player when i grow up .,i want to be a pro athlete .
i have friends at the bar i walk to . you should come with me .,i like to go to bars and people watch .
"ok , we could . i am female and in preschool ; my mom is monitoring my chat .",i am a girl .
"i mean art relaxes me , i just never have time to enjoy it .",i love art .
that sounds terrible man . i am a total hippie i do not really watch tv .,i am a hippie .
"you missing out , i will not go fishing with your cats if you come .",i eat a lot of fish .
i love crab but i have to have butter with it .,i like crab dipped in butter .
yeah ! ! in between my naps anyway . love a good nap .,i love to take naps .
what music do you enjoy listening to ?,i like to listen to music .
i live in utah with my 2 dogs .,i own dogs !
"if you ever visit boston again , maybe we can meet for coffee .",i reside on the outskirts of a city know as beantown .
that is fun ! i like to play soccer .,"i do not have too many friends in the us yet , but i am going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall ."
where are you from ? i am from grand rapids in michigan . have you heard of it ?,"i live in the city of grand rapids , michigan ."
a car ! i love my friends .,my friend once bought me a car .
its goooood . driving fast living fast . what you up to .,i hate driving in the summer my vehicle is so hot .
i need her to go all in vegan .,i am a vegan .
looking at some youtube vids about overcoming drinking .,i am constantly drinking .
they are pure aspirations ! i practice tennis more because i enjoy it .,i enjoy playing tennis .
"once , i was in a store and was held hostage during a robbery !",i have been held hostage in a store robbery situation .
"so you were before , please tell me more ! !","my wife hates me , she thinks i am lazy and poor ."
my older brother brandon really loves metal .,"we have the same parents , he was born first ."
"my favorite ball player , mike trout , is from new jersey .",my favorite player is mike trout .
i really like them too . my cat stars in most of my youtube videos .,i am an animal lover .
i enjoy being creative .,i am very creative .
it is what pays the bills . i was an orphan so i appreciate it .,i grew up as an orphan .
i wish i could work the stock market but i cant play it well .,i wish i could play the stock market well .
are you married ? i am i have been for over 7 years .,i have been married eight years .
"kids are great , with our recent home purchase , kids are definitely in our plans .",i just bought my first home .
i like hunting with my 2 kids .,i like to hunt .
i eat far too much french fries . makes me smell like them .,i also eat too much french fries .
never tried to write an eboh lol i am more in to football .,i played football in high school .
well i am an english teacher .,i work as a english teacher .
me too but not more than my moms baking . she is the best baker .,my mom is the best baker in my family .
"pizza , do you like pizza ? its great because everyone in my big family can share one pizza .",i have a big family .
it is nice to be deployed . gets me away from princess talk and conventional life .,"i secretly love my long deployments , because it gets me away from conventional life ."
there is a great bar near the beach . i wish i owned a house there !,i want to own a house on a beach .
but i admite animals so much .,i love animals .
"cool , i like music but really am more into nature . summer is my favorite season , .",my favorite season is summer .
"cool ! i surf , any chance i can !",i go surfing any chance i get .
nice ! i just took a job as a librarian here .,i just started working as a librarian .
oh wow ! i wanted to go to school there but now i am graduated .,i graduated college a few years ago .
i can show you i am a middle school art teacher .,i am a teacher .
i still live at home .,i am still living at home at age 30 .
yeah maybe i should but only in the spring its my fav .,my favorite season is spring .
if things are not done right i will redo them again and again .,i am a perfectionist .
"haha , phew ! i am glad to hear that . i like lean foods . athletes diet .",i am an athlete .
i just came in from my car taurus to get my diet coke .,i own an older model car .
i can be too and i love to eat junk food . i eat more than i should .,i eat more junk food than i really should .
i am a pilot for southwest .,i fly around the country for work .
awesome ! do you like ergonomic keyboards or chairs ?,i love ergonomic keyboards and chairs .
my parents had more than one child .,i have a sibling .
nope they make me puke . speaking of puke my favorite shade of color is green .,my favourite colour is green .
i sell paper products . its a great job . i just prefer my cooking to restaurants .,i am a great cook .
i paint pictures of soccer balls . i know that is strange but i love soccer .,i like soccer .
do you have any pets ? i have a cat .,i have one pet .
i am sure it does . well my dream is to play drums for a living .,i dream of playing music for a living .
i let my friend by me a car once when he lost a bet !,my friend once bought me a car .
i am very attentive in class .,i can tell right away if i m going to like someone .
hello ! it was ok . i work at hallmark proofreading cards .,i am a bibliophile .
jalapeno jelly honey is devine . someday i wanna live at the beach though .,i love honey .
i work overnight in a hotel so maybe i can get them on break .,i work at a hotel .
i am a 30 year old female .,i have been alive for three decades .
i enjoy watching football and hockey games .,i enjoy football and other games .
i like dogs .,i am a dog lover .
i really like red also .,my favorite color is red .
great ! its my day off and will enjoy the sleep !,i enjoy sleeping in on my days off .
"i may be a skier , but i am afraid of tall mountains .",i am going to an island soon .
i want to be an artist . i love to paint to classical music .,i enjoy classical music .
i drive a red honda . do you have a car for the job you need ?,i drive a red car .
oh i am so sorry to hear about that . i love my family .,i am all about family and fun .
i met my boyfriend at a chess tournament . we were both competitors .,my favorite hobby is chess .
mine is the story so far .,my favorite band is the story so far .
"well i have been an athlete for years , you will find someone .",i am an athlete .
i love to design my own styles .,i like to mix clothing styles .
"not yet . i am trying to get a good job first , learning how to be a welder .",i am learning to weld .
you need to get out . how about a game of tennis .,i enjoy playing tennis .
no i just want that good health .,i have good health .
that is cool . i grow cucumbers when i am not on tour . love gardening .,"when i m not touring with the band , i like to garden ."
i am currently renting an apartment .,i do not share my apartment with anyone else .
"that sounds awesome , my favorite hobby is cleaning , i have to have everything organized .",i love to clean .
"good , just became a vegan .",i am a vegan .
look it up sometime . it works . my boyfriend lost fifty pounds this year .,"i am close to my boyfriend ,"
"hello , do you like football , i used to play professionally .",i love football .
i have a cat named kevin bacon !,i prefer felines .
i use watercolors to paint and i love the color blue .,my favorite color is blue .
"whats your fav music ? i like all of it . . . well , not country and jazz .",i love most music except country and jazz .
i like playing basketball .,the bucks are the best team on earth .
hey i am looking for open job in baltimore .,i m currently looking for a job in baltimore .
you could become famous with that . i hope to be a famous animator .,someday i with to become a famous animator and work for a big company like dreamworks .
i am a veterinarian .,i take care of animals for my job .
wel my mom is a librarian so no .,my mom works in a library with books .
like the color green and eye sight bad .,my favorite color is green .
i catch the football and hockey games .,i enjoy watching football and hockey games .
"i love baseball , made the college team , i play short stop and i love mike trout .",i recently made the college baseball team .
i walk in the park because when i was a kid a saw a solar eclipse .,i saw a solar eclipse when i was 8 years old .
congrats ! i want to become a casino manage and put that statics degree to use .,i work for a casino .
i watch nascar races on sundays .,watching nascar races is a great way to spend a sunday for me .
"i teach at an elementary school , i love it , it is my dream job .",i work as a teacher and love my job .
"i work as a paramedic for the county , long hours but worth it .",i am a paramedic .
really . i like to play outside . the sun is where i play my doll with .,i like playing outside in the sun with my dolls .
that sounds great too . that is why i hate being single . no one to walk with .,i do not have a girlfriend .
"yes , i juggle fruit all day preparing for my circus act .",i work in a circus as a juggler .
its call chocolate for girls who like girls .,i like girls .
"i am currently a judge , i see scary cases all the time .",i am a judge in the circuit court .
it looks hard ! my dad and i collect movies about it . we have more then 600 !,my dad and i own over 600 movies .
fighting people off with a stick . everyone wants to be my friend !,many people want to be my friend .
"after my workouts i drink a protein shake instead coffee , do not like coffee .",i do not like coffee .
i prefer to be outside searching for wildlife .,i m always looking for wildlife when i m outside .
what a nice story ! i hope i can inspire my daughters as well !,i have always enjoyed telling stories to people .
"i love music . especially prince , i am also bi lingual i speak english and spanish .",my favorite artist was prince .
i am working as well . i am part time at the library on campus . first year in college .,i am living at home but hope to live in the dorms next year .
i write while i work overnights at a hotel after i exercise .,i work at a hotel overnight .
i do ! i have a dog and 2 cats . you ?,i have a dog and two cats .
you are lucky ! my only parent is my mother and she taught sunday school .,my mother was a sunday school teacher .
i ride bikes with my friends .,i am a cyclist .
when my cats do not hog it all . day .,i have way too many kittens .
"lol , we need to live in one house , maybe smaller .",i live in a big house .
no pets apartments are not allowed to have pets .,my pet and i go on long walks .
"to each their own . i like the color blue , you do not have too .",my favorite color is blue .
oh no . i feel your pain . i need a second job to feed my doberman .,i have a doberman .
i am sad because the gifted program rejected me .,i just got my rejection letter from the gifted program .
i work in a bakery .,i am employees in the baking industry .
"cool friends call me frank , what is your name .",my name is frank .
"i am good , just listening to taylor swift , she is the best .",my favorite singer is taylor swift .
i am a hardcore biker .,i ride a bike .
lots of cats ! my parents passed away . brother took care of me .,i often worry about where to park when i go somewhere new .
you are funny . not so depressed about welfare and dad in ace rated now .,i have had some bad luck recently and have been feeling depressed .
i love the outdoors . especially in the fall and winter . do you ice skate ?,i love fall and winter .
it is the best medicine ! that is why cartoons are better than movies .,i like cartoons more than movies .
i am a military veteran .,i am former military .
oh cool ! i really like going to concerts . i would like to get tickets to the the voice .,my favorite show is thevoice .
larp ing on the beach is the best chasing dorks everywhere .,i love to go to the beach .
maybe you work on one of my shows . i have been acting since i was 10 .,i like to act .
"it can , politics killed my father , when i was two .",i do not really remember my dad .
i am 60 . i work for ibm . but i am tired of it .,i currently work for ibm in chicago .
i just spend time taking care of my family .,i love my family .
i love dogs as well as cats . this is random but i have two different colored eyes .,both my eyes are different colors .
and that s where i got my curly hair too . drawing is my pastime .,i love to draw .
your foster dad sounds cool . my mother is so awesome ! ! !,my mom is my favorite person of all people .
"reading , cooking especially mexican food !",i love to read and cook .
i am pediatrician and i see a lot more children with asthma now .,i am a pediatrician .
does he like mangoes ? the fresh mangoes here are amazing .,i like eating fresh mangoes in the morning .
i am a yellow person myself . together we make green .,my favorite color is yellow .
do you like classical music . . . i love it .,i listen to classical music .
"very nice . i am now a blackjack dealer , and now how to count cards .",i am a blackjack dealer .
does he have any tatoos i have tatoos of thorns on my toes .,there are thorns tattooed on my toes .
my best choice of music is country on the weekends .,my least favorite music is country .
i am more into gaming than sports . it helps when your mom works for apple too .,my mother worked for apple .
nannette is the name of my poodle dog .,i have a poodle named nanette .
you would think a first grade teacher would be better at being a parent !,i teach in elementary school .
"that is nice . speaking of cooking , i am addicted to black coffee .",black coffee is my addiction .
you should look into it . hoping i can own my own company one day .,one day i hope to own my own company .
i got married at 30 . with my hair still dark and curly .,my hair is curly and dark .
tell me something that i do not know about you . for example my favorite color is green .,my favourite colour is green .
"i live in maryland , but i would love to travel .",i would love to visit the pyramids .
its starting to get cold . i cuddle up with my pet skunk .,i have a pet skunk .
this has lead me to always wishing i could become an animal .,i wish that i could be an animal .
music is nice . i prefer game soundtracks personally . its about all i can do from bed .,i am confined to my bed .
well i hike and spend a lot of times outdoors . i am very active .,i like to hike and spend time outdoors .
"my dad the ex cop , stays on my back for being a cyclist .",my father used to be a cop .
"that sounds great ! i like basketball , it is fun to play .",i like to play basketball .
"i do most things alone . just me , some dream theater on my playlist , and the game .",my favorite band is dream theater .
do you want to go see opera ?,i like to go to the opera .
wow that is awesome . my father passed away recently .,my pop passed away .
oh that is nice i teach art in a middle school .,i teach middle school art .
no it is my ptsd . i acquired it while serving . i have flare ups every so often .,"a few months ago , i purchased an rv ."
"i like romantic ones , i am a die hard believer of love .",some call me a hopeless romantic .
not really . just sad that summer is gone already .,summer is my favorite season .
"wow , i only have a few friends from my sewing group .",i like to sew .
"i like all kinds of music , listen for hours every day , 5 !",i listen to music for more than 5 hours a day .
the doctor has me assigned to bed rest for almost half a year . come visit me ?,i will be on bed rest for the next 5 months .
"no , thanks ! i am 32 . i should get a wife , not a cat .",in reality i am 32 and live at home with my mother .
"lots of animals . i love them . i volunteer walking dogs , too .",i volunteer at an animal shelter .
i am trying to cut my daily coffee consumption so chocolate helps .,i drink coffee every day .
i prefer to keep that to myself . i live incognito in japan .,i live in japan and own the biggest mansion in the country .
awesome . i love the bay area .,most of my friends are very happy to be around me .
i agree . well with my dog anyway .,i like to spend time with my puppy .
neither does my mom she just moved in with me .,my mom lives with me .
yeah i am a pro sports player .,on evenings and weekends i enjoy televised sports and cartoons .
i am doing well . just dropped my 18 year old son to the movies . and you ?,i have an 18 year old son .
i do not i drive it to football .,i play football .
nothing much . i am at walmart right now . i love to shop here .,i like to do all my shopping at walmart .
i can speak three languages .,"i can speak three languages english , french and spanish ."
wow it must be nice . i hate living in the suburbs .,i live in the suburbs of a major city .
great i need a new vet for my cat ! lol .,i love felines .
i do . we watch battlestar galactica together .,my favorite show is battlestar galactica .
"gta is sick ! mopeds are awesome , i drive one , its cool !",i drive a moped .
"i just done with my painting , i just had a free time to do it .",i like to draw and paint in my spare time .
"yes , my mom taught me about bitcoin since she has her own brand in fashion .",my mother has her own fashion brand .
i should ! i am bored with my lifestyle . i need to do other things .,i am bored with my current lifestyle .
"hi . i am arnold , and i am 10 now . my birthday was yesterday .",my name is arnold .
nice . last time i spoke to my family was years ago .,i have not spoken to my family in years .
that is awesome . my dogs and i listen to the all american rejects every night before bed .,i love big dogs .
i have to live by a schedule in order to keep my mind right .,i work well when i can organize things .
haha great way to lose weight with that diet . i dance .,i love to dance .
i go swimming with my son .,i would enjoy having a dip in the pool .
i know the feeling i am too busy running marathons .,"i run marathons twice a year , mostly in america ."
that is alright . it will get better . well me and my cat kj gotta get going now .,i call my kitten katie jane .
i have a son . he plays on the local football team .,my son plays on the local football team .
"i am doing well , just watching some old movies .",i love watching old movies .
"sometimes , but i do like swimming in pool and running .",i run track .
i grew up an army brat .,i was an army brat .
i started my new job at google last week . where do you work ?,i started working at google last week on self driving car research .
this is sweet . maybe a date to a wing place for hot wings would be fun .,i love hot wings .
classical music is the only music i like .,i enjoy mozart .
"very good . if i do that and get a corvette , my life would be complete .",i need a corvette to complete my life .
"be careful . my fiance had a bad experience . anyhow , i love the color green .",my favorite color is green .
they typically are . eating and driving in the country makes my parents happy on weekends .,i like to take drives in the country .
oh no . i would love that to be honest . i hate waking up in the morning .,sometimes i wish i didn t have to wake up in the morning .
reading is the best man ! i even read in my prius .,i drive a prius .
sure . i am avoiding my dad and brother because they are mad .,i reside living with my father and bro .
my mommy wo not let me listen to rap . i am only 8 years old .,i am 8 years old .
i am a business major right now and so over it . rather be by the beach .,i love the beach .
that is hilarious ! i knitted my cat speckles a pirate hat for halloween !,i have a cat named speckles .
it broke down last week and now it will not run .,my car broke down last week .
fair . well my pie is the best . everyone says so .,everyone says my pecan pie is the best they have ever had .
i am a personal assistant . i can be very organized .,people notice how organized i am .
that sounds relaxing . i am getting ready to go to an art museum .,my favorite thing to do is to go to museums .
i absolutely love swimming reading ! thrills chills are cool .,i enjoy spending time in the water .
in russia athletes do not have that much fun .,my country is russia .
i am from new hampshire .,i grew up in new hampshire .
i do not like apple skin .,i like green apples .
